sku,descricao,categoria,subcategoria,unidade,custo_medio,preco_tabela,margem_alvo_pct,fornecedor_principal
CABO-0001,"Cabo Flex 2,5mm² 100m Prysmian",Cabos e Fios,Geral,RL,198.4,289.0,32.0,Prysmian
CABO-0002,"Cabo Flex 4,0mm² 100m Prysmian",Cabos e Fios,Geral,RL,312.5,459.0,32.0,Prysmian
CABO-0003,"Cabo Flex 6,0mm² 100m Prysmian",Cabos e Fios,Geral,RL,488.2,712.0,32.0,Prysmian
CABO-0004,"Cabo PP 3x1,5mm² 100m Cobrecom",Cabos e Fios,Geral,RL,142.8,209.9,32.0,Cobrecom
CABO-0005,"Cabo PP 3x2,5mm² 100m Cobrecom",Cabos e Fios,Geral,RL,218.4,318.0,32.0,Cobrecom
CABO-0006,Cabo Coaxial RG6 100m Furukawa,Cabos e Fios,Geral,RL,178.0,264.0,32.0,Furukawa
CABO-0007,"Fio Sólido 1,5mm² 100m Prysmian",Cabos e Fios,Geral,RL,88.2,132.9,32.0,Prysmian
CABO-0008,"Fio Sólido 2,5mm² 100m Prysmian",Cabos e Fios,Geral,RL,142.0,211.0,32.0,Prysmian
CABO-0009,Cabo de Rede CAT6 305m Furukawa,Cabos e Fios,Geral,CX,612.0,879.0,32.0,Furukawa
CABO-0010,Cabo Solar 6mm² 100m Solfio,Cabos e Fios,Geral,RL,387.6,549.0,32.0,Solfio
LED-0011,Painel LED 60x60 48W 6500K,Iluminação LED,Geral,UN,87.2,119.9,28.000000000000004,Importado-CN
LED-0012,Painel LED 30x60 24W 6500K,Iluminação LED,Geral,UN,52.4,74.9,28.000000000000004,Importado-CN
LED-0013,Lâmpada LED Bulbo 9W E27 Empalux,Iluminação LED,Geral,UN,7.8,14.9,28.000000000000004,Empalux
LED-0014,Lâmpada LED Bulbo 12W E27 Empalux,Iluminação LED,Geral,UN,9.4,18.9,28.000000000000004,Empalux
LED-0015,Refletor LED 50W IP65 Avant,Iluminação LED,Geral,UN,64.2,98.0,28.000000000000004,Avant
LED-0016,Refletor LED 100W IP65 Avant,Iluminação LED,Geral,UN,112.4,169.0,28.000000000000004,Avant
LED-0017,Spot LED 5W Embutir Empalux,Iluminação LED,Geral,UN,8.6,14.5,28.000000000000004,Empalux
LED-0018,Fita LED 5m IP65 12V Stella,Iluminação LED,Geral,UN,38.2,64.9,28.000000000000004,Stella
LED-0019,Luminária Pendente LED 24W,Iluminação LED,Geral,UN,78.0,134.0,28.000000000000004,Importado-CN
LED-0020,Plafon LED 24W 6500K,Iluminação LED,Geral,UN,42.8,72.0,28.000000000000004,Importado-CN
QDR-0021,Quadro Distribuição 24DIN Steck,Quadros e Disjuntores,Geral,UN,134.5,198.0,30.0,Steck
QDR-0022,Quadro Distribuição 12DIN Steck,Quadros e Disjuntores,Geral,UN,88.2,132.0,30.0,Steck
QDR-0023,Disjuntor Monopolar 10A Curva C Steck,Quadros e Disjuntores,Geral,UN,11.2,18.9,30.0,Steck
QDR-0024,Disjuntor Monopolar 25A Curva C Steck,Quadros e Disjuntores,Geral,UN,11.8,19.9,30.0,Steck
QDR-0025,Disjuntor Bipolar 40A Curva C Steck,Quadros e Disjuntores,Geral,UN,38.4,62.0,30.0,Steck
QDR-0026,Disjuntor Tripolar 63A Curva C Schneider,Quadros e Disjuntores,Geral,UN,124.0,189.0,30.0,Schneider
QDR-0027,DR Bipolar 30mA 25A Schneider,Quadros e Disjuntores,Geral,UN,142.2,219.0,30.0,Schneider
QDR-0028,DR Tetrapolar 30mA 40A Schneider,Quadros e Disjuntores,Geral,UN,287.0,432.0,30.0,Schneider
QDR-0029,DPS Classe II 275V 20kA Clamper,Quadros e Disjuntores,Geral,UN,28.4,49.0,30.0,Clamper
QDR-0030,Contator Tripolar 25A WEG,Quadros e Disjuntores,Geral,UN,184.2,269.0,30.0,WEG
INFRA-0031,"Eletroduto Flexível 3/4"" 50m Tigre",Automação e Infra,Geral,RL,78.4,119.0,34.0,Tigre
INFRA-0032,Eletroduto Rígido 25mm 3m Tigre,Automação e Infra,Geral,UN,24.8,39.0,34.0,Tigre
INFRA-0033,Caixa de Passagem 200x200x100 PVC,Automação e Infra,Geral,UN,48.2,78.0,34.0,Tramontina
INFRA-0034,Eletrocalha Lisa 100x50x3000 Cemar,Automação e Infra,Geral,UN,88.4,134.0,34.0,Cemar
INFRA-0035,Tomada 2P+T 20A Branca Tramontina,Automação e Infra,Geral,UN,12.2,19.9,34.0,Tramontina
INFRA-0036,Interruptor Simples Tramontina Linha Lux,Automação e Infra,Geral,UN,9.8,16.5,34.0,Tramontina
INFRA-0037,Conector Wago 3 Vias 32A,Automação e Infra,Geral,UN,4.8,8.9,34.0,Wago
INFRA-0038,Sensor de Presença Bivolt Intelbras,Automação e Infra,Geral,UN,78.0,124.0,34.0,Intelbras
INFRA-0039,Câmera IP Bullet 2MP Intelbras,Automação e Infra,Geral,UN,312.0,489.0,34.0,Intelbras
INFRA-0040,Switch 8 portas Gigabit Intelbras,Automação e Infra,Geral,UN,218.0,339.0,34.0,Intelbras
