pedido_id,data_emissao,cliente_id,razao_social,vendedor_id,vendedor,regiao,sku,descricao,categoria,fornecedor,quantidade,preco_unit,desconto_pct,valor_total,custo_total,margem_bruta_pct,forma_pagamento,prazo_dias,status
PED-100000,2024-01-01,AUR-0297,Roberto Pereira Engenharia Ltda,V001,Carla Mendes,SP-Capital,CABO-0010,Cabo Solar 6mm² 100m Solfio,Cabos e Fios,Solfio,2,575.9,3.37,1112.98,775.2,30.35,PIX,60,Faturado
PED-100000,2024-01-01,AUR-0297,Roberto Pereira Engenharia Ltda,V001,Carla Mendes,SP-Capital,CABO-0010,Cabo Solar 6mm² 100m Solfio,Cabos e Fios,Solfio,3,566.63,2.72,1653.63,1162.8,29.68,Boleto,60,Faturado
PED-100001,2024-01-01,AUR-0096,Ricardo Oliveira Materiais Elétricos Ltda,V007,Diego Salgueiro,Sul-MG,CABO-0001,"Cabo Flex 2,5mm² 100m Prysmian",Cabos e Fios,Prysmian,4,276.16,3.04,1070.99,793.6,25.9,PIX,15,Faturado
PED-100001,2024-01-01,AUR-0096,Ricardo Oliveira Materiais Elétricos Ltda,V007,Diego Salgueiro,Sul-MG,INFRA-0032,Eletroduto Rígido 25mm 3m Tigre,Automação e Infra,Tigre,3,36.54,1.73,107.71,74.4,30.93,Boleto,30,Faturado
PED-100001,2024-01-01,AUR-0096,Ricardo Oliveira Materiais Elétricos Ltda,V007,Diego Salgueiro,Sul-MG,QDR-0028,DR Tetrapolar 30mA 40A Schneider,Quadros e Disjuntores,Schneider,16,418.97,0.15,6693.36,4592.0,31.39,PIX,28,Faturado
PED-100002,2024-01-01,AUR-0181,Camila Fernandes Construções Ltda,V001,Carla Mendes,SP-Capital,CABO-0001,"Cabo Flex 2,5mm² 100m Prysmian",Cabos e Fios,Prysmian,2,274.38,3.51,529.51,396.8,25.06,Boleto,15,Faturado
PED-100002,2024-01-01,AUR-0181,Camila Fernandes Construções Ltda,V001,Carla Mendes,SP-Capital,CABO-0007,"Fio Sólido 1,5mm² 100m Prysmian",Cabos e Fios,Prysmian,4,130.96,1.22,517.44,352.8,31.82,PIX,0,Faturado
PED-100003,2024-01-01,AUR-0162,Vanessa Fernandes Instaladora Ltda,V006,Eduarda Carvalho,Interior-SP,INFRA-0039,Câmera IP Bullet 2MP Intelbras,Automação e Infra,Intelbras,17,471.36,3.55,7728.44,5304.0,31.37,PIX,28,Faturado
PED-100003,2024-01-01,AUR-0162,Vanessa Fernandes Instaladora Ltda,V006,Eduarda Carvalho,Interior-SP,INFRA-0032,Eletroduto Rígido 25mm 3m Tigre,Automação e Infra,Tigre,12,39.68,0.66,473.06,297.6,37.09,Boleto,15,Faturado
PED-100003,2024-01-01,AUR-0162,Vanessa Fernandes Instaladora Ltda,V006,Eduarda Carvalho,Interior-SP,LED-0015,Refletor LED 50W IP65 Avant,Iluminação LED,Avant,8,99.42,0.52,791.22,513.6,35.09,Cartão,15,Faturado
PED-100003,2024-01-01,AUR-0162,Vanessa Fernandes Instaladora Ltda,V006,Eduarda Carvalho,Interior-SP,INFRA-0038,Sensor de Presença Bivolt Intelbras,Automação e Infra,Intelbras,17,116.8,1.47,1956.55,1326.0,32.23,Cartão,15,Faturado
PED-100004,2024-01-01,AUR-0360,Ana Rodrigues Comércio Elétrico Ltda,V004,Roberto Almeida,SP-Capital,INFRA-0040,Switch 8 portas Gigabit Intelbras,Automação e Infra,Intelbras,2,338.05,0.19,674.81,436.0,35.39,PIX,0,Faturado
PED-100004,2024-01-01,AUR-0360,Ana Rodrigues Comércio Elétrico Ltda,V004,Roberto Almeida,SP-Capital,CABO-0004,"Cabo PP 3x1,5mm² 100m Cobrecom",Cabos e Fios,Cobrecom,1,204.48,1.52,201.37,142.8,29.09,Cartão,28,Faturado
PED-100004,2024-01-01,AUR-0360,Ana Rodrigues Comércio Elétrico Ltda,V004,Roberto Almeida,SP-Capital,INFRA-0031,"Eletroduto Flexível 3/4"" 50m Tigre",Automação e Infra,Tigre,2,112.66,2.74,219.14,156.8,28.45,PIX,28,Faturado
PED-100004,2024-01-01,AUR-0360,Ana Rodrigues Comércio Elétrico Ltda,V004,Roberto Almeida,SP-Capital,QDR-0027,DR Bipolar 30mA 25A Schneider,Quadros e Disjuntores,Schneider,4,220.34,1.08,871.85,568.8,34.76,Cartão,15,Faturado
PED-100005,2024-01-01,AUR-0057,Roberto Silva Construções Ltda,V002,Marcos Tavares,SP-Capital,CABO-0008,"Fio Sólido 2,5mm² 100m Prysmian",Cabos e Fios,Prysmian,3,197.25,0.43,324.08,234.3,27.7,PIX,30,Faturado
PED-100005,2024-01-01,AUR-0057,Roberto Silva Construções Ltda,V002,Marcos Tavares,SP-Capital,LED-0013,Lâmpada LED Bulbo 9W E27 Empalux,Iluminação LED,Empalux,9,15.32,3.89,72.88,38.61,47.02,Boleto,30,Faturado
PED-100005,2024-01-01,AUR-0057,Roberto Silva Construções Ltda,V002,Marcos Tavares,SP-Capital,QDR-0027,DR Bipolar 30mA 25A Schneider,Quadros e Disjuntores,Schneider,10,206.05,2.19,1108.4,782.1,29.44,PIX,30,Faturado
PED-100005,2024-01-01,AUR-0057,Roberto Silva Construções Ltda,V002,Marcos Tavares,SP-Capital,INFRA-0031,"Eletroduto Flexível 3/4"" 50m Tigre",Automação e Infra,Tigre,3,113.11,0.05,186.53,129.36,30.65,PIX,15,Faturado
PED-100006,2024-01-01,AUR-0375,Eduardo Pereira Engenharia Ltda,V004,Roberto Almeida,SP-Capital,CABO-0006,Cabo Coaxial RG6 100m Furukawa,Cabos e Fios,Furukawa,1,267.71,0.41,266.63,178.0,33.24,Boleto,15,Faturado
PED-100007,2024-01-01,AUR-0166,Camila Santos Materiais Elétricos Ltda,V001,Carla Mendes,SP-Capital,CABO-0007,"Fio Sólido 1,5mm² 100m Prysmian",Cabos e Fios,Prysmian,2,137.37,5.41,259.88,176.4,32.12,Boleto,45,Faturado
PED-100007,2024-01-01,AUR-0166,Camila Santos Materiais Elétricos Ltda,V001,Carla Mendes,SP-Capital,QDR-0028,DR Tetrapolar 30mA 40A Schneider,Quadros e Disjuntores,Schneider,4,402.78,5.03,1530.02,1148.0,24.97,Boleto,30,Faturado
PED-100007,2024-01-01,AUR-0166,Camila Santos Materiais Elétricos Ltda,V001,Carla Mendes,SP-Capital,CABO-0009,Cabo de Rede CAT6 305m Furukawa,Cabos e Fios,Furukawa,1,846.24,5.58,799.03,612.0,23.41,PIX,45,Faturado
PED-100008,2024-01-01,AUR-0051,Patrícia Almeida Instaladora Ltda,V008,Luana Prado,Sul-MG,LED-0012,Painel LED 30x60 24W 6500K,Iluminação LED,Importado-CN,4,72.81,3.85,280.03,209.6,25.15,Boleto,30,Faturado
